epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1020.18,1.15479,-11.8459,1.55819,0.57191,0.65419,0.65626,0.32639,1.57372,3.15724,1.29655,0.0700683,0.00332574,0.00332574
2,1954.39,1.15242,-12.6606,1.54914,0.73832,0.79781,0.83216,0.46519,1.36297,2.41906,1.19517,0.0400024,0.00659315,0.00659315
3,2906.43,1.09491,-14.7011,1.48931,0.83314,0.81836,0.89548,0.48754,1.21351,1.57612,1.08341,0.00987049,0.00979456,0.00979456
4,3997.04,1.05514,-17.1209,1.44336,0.71267,0.72613,0.77715,0.42854,1.29045,2.34681,1.16257,0.009703,0.009703,0.009703
5,5235.32,0.95061,-12.7378,1.36687,0.82845,0.79907,0.88997,0.51475,1.14764,1.68082,1.07932,0.009604,0.009604,0.009604
6,6435.48,0.89426,-11.5072,1.33137,0.92116,0.8829,0.96309,0.64876,0.97293,1.21772,0.93297,0.009505,0.009505,0.009505
7,7657.67,0.8908,-15.6492,1.3187,0.74657,0.84298,0.80081,0.46469,1.25077,1.77252,1.15363,0.009406,0.009406,0.009406
8,8918.65,0.85354,-16.9311,1.29333,0.92005,0.90486,0.96661,0.64385,0.8349,1.05985,0.86239,0.009307,0.009307,0.009307
9,10226.3,0.85128,-13.2017,1.28367,0.91231,0.88689,0.9511,0.66138,0.98146,1.22097,0.93772,0.009208,0.009208,0.009208
10,11959.3,0.84807,-13.1912,1.28251,0.88385,0.835,0.90693,0.5761,1.12464,1.34905,1.04942,0.009109,0.009109,0.009109
11,13357.8,0.80212,-14.7605,1.25062,0.87923,0.83234,0.93103,0.64035,0.92646,1.49637,0.92956,0.00901,0.00901,0.00901
12,14795.1,0.81034,-16.14,1.25982,0.92433,0.91833,0.96745,0.66008,0.86061,1.09343,0.86803,0.008911,0.008911,0.008911
